year,total,boys,girls
2010,85.0,77.4,92.6
2011,,,,,,
2012,89.4,83.8,94.8
2013,,,,,,
2014,,,,,,
2015,85.6,80.8,90.5
2016,,,,,,
2017,,,,,,
2018,,,,,,
