year,recykling,kompostowanie lub fermentacja,przekształcenia termiczne,składowanie
year,recycling,composting or fermentation,incineration,landfilling
2010,14.82,1.50,0.32,66.83
2011,9.70,1.73,0.37,69.29
2012,10.30,1.67,0.42,66.94
2013,13.27,1.88,6.78,61.98
2014,21.10,5.42,15.10,58.41
2015,26.39,6.09,13.25,54.32
2016,27.84,6.99,19.44,45.77
2017,26.73,7.08,24.41,41.80
2018,,,,
