year,ogółem,miasto,wieś
2010,15.6,13,19.6
2011,11.5,10.3,13.4
2012,10.6,9.3,12.5
2013,10.2,8.8,12.4
2014,9.5,8.9,10.4
2015,11.9,10.6,13.8
2016,11.7,10.1,13.9
2017,12.1,10.5,14.4
