year,ogółem,chłopcy,dziewczęta
year,total,boys,girls
2010,79.5,78.9,80.2
2011,,,
2012,85.6,85.0,86.2
2013,,,
2014,,,
2015,82.8,84.0,81.5
2016,,,
2017,,,
2018,,,
