year,ogółem,w prawie,w praktyce
year,overall,in law,in practice
2010,,,
2011,,,
2012,0.77,0.91,0.30
2013,,,
2014,,,
2015,0.95,1.21,0.30
2016,0.95,1.21,0.30
2017,0.95,1.21,0.30
