year,ogółem,mężczyźni,kobiety
year,total,males,females
2010,,,
2011,77.1,91.5,70.8
2012,77.1,90.0,71.3
2013,77.4,90.1,71.4
2014,75.2,87.4,69.7
2015,74.6,86.0,69.4
2016,74.0,85.0,68.9
2017,76.4,86.2,71.3
2018,78.1,89.3,72.7
