year,ogółem
year,total
2010,2.50
2011,2.64
2012,2.50
2013,2.64
2014,3.24
2015,2.86
2016,2.88
2017,3.38
2018,3.29
2019,3.77
2020,3.89
2021,3.98
2022,4.11
2023,4.06
