year,ogółem
year,total
2010,
2011,
2012,
2013,1.41
2014,24.33
2015,27.76
2016,72.69
2017,13.97
2018,25.45
2019,13.30
2020,9.48
2021,3.36
2022,3.93
2023,3.84
