year,ogółem,mężczyźni,kobiety
year,total,males,females
2010,4.6,5.5,3.6
2011,,,
2012,,,
2013,,,
2014,4.5,5.8,2.9
2015,,,
2016,,,
2017,5.4,5.9,4.6
2018,,,
2019,,,
2020,,,
2021,,,
2022,2.0,2.5,1.4
