year,ogółem
year,total
2010,0.17
2011,0.19
2012,0.15
2013,0.13
2014,0.10
2015,0.13
2016,0.11
2017,0.16
2018,0.15
2019,0.16
2020,0.06
2021,0.09
2022,0.07
2023,0.09
