year,ogółem
year,total
2010,1.73
2011,1.68
2012,1.67
2013,1.64
2014,1.60
2015,1.62
2016,1.73
2017,1.84
2018,1.94
2019,1.91
2020,1.87
2021,2.01
2022,1.94
2023,1.90
2024,1.91
