year,gazowe (bez CO₂),pyłowe
year,gaseous (without CO₂),particulate
2010,99.6,43.4
2011,99.6,46.5
2012,99.6,47.2
2013,99.6,47.8
2014,99.6,46.4
2015,99.6,46.5
2016,99.7,51.4
2017,99.7,53.8
2018,99.7,54.0
2019,99.7,54.3
2020,99.8,58.5
2021,99.8,61.4
2022,99.8,60.0
2023,99.8,62.3
2024,99.8,59.6
