year,ogółem
year,total
2010,100.0
2011,99.7
2012,97.8
2013,96.7
2014,93.6
2015,94.3
2016,96.9
2017,100.5
2018,100.4
2019,94.9
2020,91.2
2021,98.2
2022,93.6
2023,85.7
2024,84.2
