year,ogółem,mężczyźni,kobiety
year,total,males,females
2010,8.3,6.8,9.6
2011,7.9,6.5,9.2
2012,9.0,7.4,10.4
2013,8.8,7.4,10.0
2014,7.8,6.7,8.7
2015,7.3,6.2,8.3
2016,6.6,5.5,7.5
2017,3.3,3.0,3.5
2018,4.2,3.7,4.6
2019,4.2,3.5,4.7
2020,1.9,1.6,2.1
2021,2.7,2.3,3.1
2022,2.3,1.8,2.7
2023,3.6,2.9,4.1
2024,3.8,3.4,4.2
2025,2.9,2.5,3.3
