year,ogółem,miasto,wieś
year,total,urban area,rural area
2010,66.0,77.0,58.9
2011,65.3,70.5,58.0
2012,66.0,70.9,59.0
2013,65.5,70.5,58.6
2014,67.2,72.3,60.1
2015,65.8,71.6,57.3
2016,65.4,70.7,57.8
2017,64.6,69.6,57.6
2018,64.6,70.0,57.0
2019,64.9,70.5,57.0
2020,64.9,71.9,54.9
2021,69.7,75.5,61.2
2022,72.3,76.9,65.6
2023,74.1,77.2,69.7
2024,72.3,77.0,66.0
