year,ogółem
year,total
2010,16.50
2011,20.43
2012,17.52
2013,16.72
2014,16.58
2015,16.47
2016,16.92
2017,18.01
2018,18.47
2019,17.59
2020,17.58
2021,18.25
2022,18.31
2023,17.34
2024,16.68
