year,ogółem
year,total
2010,674
2011,605
2012,1082
2013,1219
2014,1282
2015,1456
2016,1926
2017,3182
2018,3739
2019,6484
2020,10420
2021,29483
2022,39683
2023,80267
2024,103449
2025,260783
