year,ogółem,mężczyźni,kobiety
year,total,males,females
2010,11.0,11.1,10.9
2011,11.7,11.8,11.7
2012,12.1,12.0,12.2
2013,12.5,12.6,12.4
2014,12.2,12.4,12.0
2015,11.2,11.5,10.9
2016,10.8,10.4,11.2
2017,9.7,8.8,10.7
2018,8.8,7.4,10.1
2019,7.9,6.8,9.1
2020,8.6,7.9,9.3
2021,11.2,10.6,11.8
2022,8.1,7.5,8.6
2023,6.9,7.1,6.7
2024,7.0,7.0,6.9
2025,7.1,6.7,7.6
