year,ogółem,miasto,wieś
year,total,urban area,rural area
2010,62.6,78.8,41.0
2011,69.2,84.0,49.3
2012,69.7,83.7,50.8
2013,74.1,87.6,55.7
2014,79.4,92.9,60.8
2015,84.2,98.1,65.1
2016,81.1,95.3,61.6
2017,84.7,99.3,64.5
2018,87.3,101.9,67.0
2019,88.5,102.7,68.5
2020,85.2,103.1,62.5
2021,88.3,106.3,65.8
2022,92.7,112.3,68.7
