year,ogółem
year,total
2010,65.7
2011,64.8
2012,67.4
2013,69.8
2014,70.5
2015,70.9
2016,71.4
2017,72.5
2018,73.2
2019,73.9
2020,73.3
2021,72.8
2022,76.3
