year,ogółem,miasto,wieś
year,total,urban area,rural area
2010,349.6,,
2011,352.6,,
2012,356.1,,
2013,359.9,,
2014,363.4,,
2015,367.3,,
2016,371.3,,
2017,375.7,,
2018,380.5,,
2019,385.9,,
2020,392.4,,
