year,ogółem,w wieku 15-29 lat,w wieku 30-49 lat,w wieku 50-69 lat,w wieku 70 lat i więcej
year,total,aged 15-29,aged 30-49,aged 50-69,aged 70 and more
2010,79.3,53.4,92.3,88.5,72.0
2011,,,,,
2012,,,,,
2013,,,,,
2014,85.4,58.3,95.1,94.6,79.5
2015,,,,,
2016,,,,,
2017,,,,,
2018,,,,,
2019,86.7,56.9,95.5,94.7,86.0
