year,ogółem,mężczyźni,kobiety
year,total,males,females
2010,15.8,16.6,15.2
2011,,,
2012,,,
2013,,,
2014,16.7,18.1,15.6
2015,,,
2016,,,
2017,,,
2018,,,
2019,18.5,19.5,17.6
