year,ogółem,kobiety,mężczyźni
year,total,females,males
2010,73.8,75.8,72.1
2011,73.4,75.3,71.7
2012,73.0,75.2,71.1
2013,73.0,75.3,71.1
2014,73.2,75.5,71.2
2015,73.2,75.6,71.1
2016,73.6,76.1,71.3
2017,73.7,76.1,71.6
2018,73.9,76.5,71.7
2019,74.2,76.8,71.9
2020,73.9,76.7,71.5
