year,ogółem
year,total
2010,45951
2011,39799
2012,35362
2013,37823
2014,28952
2015,24070
2016,25005
2017,25879
2018,28300
2019,29445
2020,39443
2021,49228
2022,53340
2023,46824
2024,42425
