year,ogółem
year,total
2010,1.14
2011,1.13
2012,1.13
2013,1.14
2014,1.15
2015,1.18
2016,1.18
2017,1.18
2018,1.20
2019,1.23
2020,1.22
2021,1.24
2022,1.24
2023,1.21
2024,1.21
