year,przyjazdy,wyjazdy
year,arrivals,departures
2010,759502,781553
2011,781353,802785
2012,802702,809836
2013,787070,809712
2014,875518,878045
2015,919666,931632
2016,962501,970959
2017,1011758,1013639
2018,1029218,1029660
2019,1057440,1026283
2020,780543,773182
2021,882463,881969
2022,885794,929215
2023,871811,862113
2024,872944,853481
2025,884918,873943
