year,ogółem,miasto,wieś
year,total,urban area,rural area
2010,,,
2011,4.4,,
2012,6.0,9.5,0.3
2013,8.3,12.9,1.1
2014,10.5,16.3,2.1
2015,12.4,19.1,2.9
2016,13.9,21.0,3.4
2017,16.0,23.5,4.4
2018,19.3,28.7,6.2
2019,22.6,33.5,7.7
2020,25.9,37.5,9.6
2021,28.8,,
