year,ogółem
year,total
2010,
2011,
2012,
2013,37.8
2014,38.8
2015,40.2
2016,41.2
2017,41.2
2018,42.5
2019,43.0
2020,43.2
2021,42.8
2022,42.8
2023,42.3
2024,41.8
2025,42.5
