year,ogółem
year,total
2010,
2011,
2012,
2013,
2014,
2015,16.5
2016,17.5
2017,18.0
2018,18.0
2019,17.0
2020,14.8
2021,14.2
2022,13.7
2023,12.5
2024,11.9
2025,
