year,ogółem,miasto,wieś
year,total,urban area,rural area
2010,,,
2011,,,
2012,,,
2013,,,
2014,34.5,40.3,25.7
2015,,,
2016,,,
2017,,,
2018,,,
2019,39.6,46.0,30.0
