territorial unit,2015,2016,2017,2018,2019,2020,2021,2022
gminas excluding cities with powiat status,6.3,5.6,6.7,7.6,5.8,5.9,5.7,7.1
cities with powiat status,9.1,5.8,6.2,7.3,6.9,6.2,5.9,6.2
