miasto,2015,2020,2025
Białystok,7.4,6.6,5.5
Bydgoszcz,27.9,13.1,16.5
Gdańsk,8.0,7.7,9.9
Gorzów Wielkopolski,19.5,20.1,21.3
Katowice,25.5,9.3,11.0
Kielce,5.8,6.1,6.4
Kraków,12.3,14.0,17.0
Lublin,9.0,9.4,9.6
Łódź,12.0,14.7,17.0
Olsztyn,6.5,8.6,10.0
Opole,18.0,17.6,19.9
Poznań,8.9,8.7,8.8
Rzeszów,8.3,11.4,11.5
Szczecin,5.6,7.0,7.5
Toruń,6.9,8.4,8.9
Warszawa,6.8,7.3,8.0
Wrocław,11.7,17.7,18.2
Zielona Góra,5.5,5.4,5.5
