województwo,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,15.8,15.8,15.7,15.7,15.7,15.7,15.7,15.9,15.9
dolnośląskie,14.6,14.6,14.7,14.7,14.7,14.7,14.7,14.9,14.9
kujawsko-pomorskie,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
lubelskie,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4
lubuskie,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
łódzkie,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
małopolskie,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.9,8.8
mazowieckie,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1
opolskie,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
podkarpackie,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5
podlaskie,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7
pomorskie,19.9,19.9,19.9,19.9,19.9,19.9,20.0,21.9,21.9
śląskie,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1
świętokrzyskie,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
warmińsko-mazurskie,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8
wielkopolskie,14.3,14.3,13.7,13.7,13.7,13.7,13.7,13.7,13.7
zachodniopomorskie,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3
