województwo,2015,2023
Polska,2.1,1.7
dolnośląskie,1.7,1.2
kujawsko-pomorskie,2.2,1.9
lubelskie,5.2,3.3
lubuskie,3.3,3.1
łódzkie,2.2,1.2
małopolskie,0.9,1.2
mazowieckie,1.6,1.1
opolskie,2.3,1.6
podkarpackie,3.6,2.3
podlaskie,5.3,4.9
pomorskie,2.2,2.7
śląskie,0.6,0.6
świętokrzyskie,2.5,2.1
warmińsko-mazurskie,8.7,4.7
wielkopolskie,1.5,1.4
zachodniopomorskie,3.2,5.0
