REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,13,13,12,11,11,11,11,11,12,12,12,13,13,12
Dolnośląskie,,13,14,13,12,11,11,11,11,12,12,13,13,14,13
Kujawsko-Pomorskie,,13,13,12,11,11,11,11,12,12,12,12,13,13,13
Lubelskie,,12,12,12,11,11,11,10,11,12,12,12,12,12,11
Lubuskie,,12,12,12,11,11,11,11,11,12,12,12,13,14,13
Łódzkie,,13,12,12,11,11,11,11,11,12,12,12,12,13,12
Małopolskie,,12,12,12,12,12,12,12,12,13,12,12,13,13,12
Mazowieckie,,12,12,13,11,11,11,11,11,12,12,12,12,13,13
Opolskie,,12,12,12,11,11,11,11,11,13,12,12,13,13,13
Podkarpackie,,12,12,12,11,12,12,11,11,12,12,12,12,12,12
Podlaskie,,13,13,13,11,11,11,10,10,11,11,11,11,12,11
Pomorskie,,13,14,14,12,12,12,11,12,13,13,13,14,14,13
Śląskie,,13,13,12,11,11,11,11,11,12,12,12,12,13,12
Świętokrzyskie,,12,12,12,11,11,11,11,11,12,12,12,13,13,12
Warmińsko-Mazurskie,,13,12,13,11,11,11,11,11,12,12,12,12,13,12
Wielkopolskie,,13,13,12,12,12,12,11,12,13,12,13,13,14,13
Zachodniopomorskie,,12,13,12,11,11,11,11,11,13,12,12,13,13,13
