REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,74,74,74,78,80,82,82,83,82,81,72,80,81,73
Dolnośląskie,94,91,93,102,104,104,102,103,99,96,85,91,91,82
Kujawsko-Pomorskie,82,82,83,85,89,90,89,88,90,88,78,90,91,82
Lubelskie,83,79,78,81,84,88,89,91,90,86,75,82,82,75
Lubuskie,74,75,75,79,81,83,78,77,70,77,73,86,87,87
Łódzkie,81,86,78,87,87,85,83,83,83,86,78,85,85,74
Małopolskie,62,64,64,63,66,66,69,68,69,70,59,68,71,67
Mazowieckie,79,78,76,83,86,87,88,89,85,82,69,76,79,69
Opolskie,65,62,66,61,64,66,68,72,74,73,68,74,77,71
Podkarpackie,59,63,64,64,66,67,68,68,67,66,62,69,68,59
Podlaskie,78,73,72,75,76,76,74,71,71,67,60,68,65,60
Pomorskie,60,63,67,69,70,73,71,72,71,70,63,70,74,69
Śląskie,78,75,74,78,84,89,88,92,90,91,83,94,94,85
Świętokrzyskie,79,82,83,87,94,95,99,104,105,101,90,94,92,91
Warmińsko-Mazurskie,76,75,78,83,88,91,92,89,89,85,80,94,88,79
Wielkopolskie,51,52,54,55,53,52,55,58,57,56,49,58,61,55
Zachodniopomorskie,85,83,82,93,100,103,103,104,107,104,96,106,103,91
