year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,30.6,31.8,30.1,31.3,32.3,30.3,26.1,34.4,29.8,24.7,30.5,33.6,27.4,31.3,31.2,32.6,32.1
2011,31.6,32.1,30.8,32.4,31.8,31.9,27.2,36.0,31.3,25.5,32.8,32.4,29.2,32.2,30.7,33.9,31.0
2012,32.2,33.2,33.5,32.4,31.4,32.7,28.1,37.5,32.4,26.3,33.8,32.4,29.2,32.8,30.6,33.9,32.1
2013,32.5,32.5,33.5,32.8,33.1,34.0,28.9,37.5,31.9,26.7,34.0,34.2,29.7,30.7,31.2,33.4,32.9
2014,33.1,32.6,33.4,33.9,33.4,35.2,29.7,38.2,33.0,26.9,35.2,33.6,30.7,31.2,30.6,32.8,34.2
2015,33.4,33.3,33.5,34.7,34.2,33.7,30.7,37.5,33.2,28.0,34.8,36.3,30.1,32.4,32.0,34.2,33.0
2016,33.3,34.3,33.4,32.8,35.2,33.5,30.5,36.8,33.3,30.4,34.2,36.5,29.0,32.3,33.5,35.2,32.5
2017,33.8,33.9,33.2,33.1,34.4,34.7,32.1,37.5,35.1,30.8,34.9,36.8,29.8,32.5,33.7,35.8,32.8
2018,33.3,33.6,33.5,33.0,34.0,34.5,31.1,38.1,34.4,29.8,34.2,35.4,28.5,30.9,32.9,34.7,33.4
2019,32.9,33.6,32.8,32.6,33.6,32.3,31.1,37.6,33.7,29.8,34.3,36.7,27.2,30.4,33.2,34.3,32.9
2020,33.7,33.7,32.7,34.0,33.9,33.4,32.8,38.2,34.8,31.2,35.4,37.4,28.1,32.3,34.3,33.7,34.1
2021,35.9,35.2,36.1,35.7,33.8,35.5,35.1,40.5,37.4,33.2,38.0,38.5,31.6,35.7,35.1,36.6,34.8
2022,36.2,35.7,36.9,36.7,35.9,37.1,33.7,40.5,36.4,32.9,38.0,38.6,31.2,36.2,36.4,37.4,35.4
2023,36.4,36.3,37.3,35.2,37.3,35.9,34.8,40.6,37.2,33.2,39.6,38.4,32.3,36.8,36.3,37.1,35.1
2024,36.7,35.1,37.8,35.9,36.4,36.7,35.7,41.5,36.6,33.2,38.5,38.7,33.1,35.7,36.0,37.5,35.2
