REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,0.77,0.65,0.51,0.52,0.51,0.50,0.51,0.59,0.51,0.51,0.52,0.55,0.51,0.50
Dolnośląskie,0.69,0.76,0.40,0.38,0.48,0.46,0.50,0.46,0.44,0.44,0.50,0.53,0.47,0.47
Kujawsko-Pomorskie,0.61,0.67,0.65,0.60,0.48,0.48,0.53,0.64,0.60,0.51,0.45,0.59,0.62,0.43
Lubelskie,0.60,0.81,0.72,0.61,0.50,0.67,0.54,0.68,0.59,0.58,0.73,0.64,0.58,0.50
Lubuskie,0.58,0.63,0.59,0.39,0.33,0.55,0.35,0.52,0.58,0.44,0.46,0.46,0.49,0.49
Łódzkie,0.94,0.63,0.57,0.55,0.53,0.53,0.59,0.75,0.54,0.57,0.58,0.68,0.65,0.57
Małopolskie,1.03,0.63,0.55,0.66,0.65,0.59,0.52,0.55,0.50,0.49,0.51,0.59,0.54,0.53
Mazowieckie,0.78,0.57,0.44,0.58,0.52,0.47,0.48,0.49,0.49,0.53,0.50,0.49,0.48,0.46
Opolskie,0.88,0.88,0.49,0.42,0.69,0.48,0.56,0.60,0.60,0.46,0.60,0.76,0.48,0.54
Podkarpackie,0.71,0.53,0.67,0.66,0.60,0.51,0.43,0.62,0.50,0.45,0.56,0.57,0.53,0.46
Podlaskie,0.63,0.55,0.51,0.43,0.58,0.59,0.69,0.78,0.65,0.63,0.51,0.64,0.50,0.64
Pomorskie,0.67,0.37,0.36,0.34,0.34,0.29,0.42,0.42,0.45,0.40,0.40,0.44,0.43,0.42
Śląskie,0.83,0.68,0.47,0.52,0.58,0.59,0.50,0.58,0.46,0.49,0.56,0.53,0.44,0.47
Świętokrzyskie,0.75,0.57,0.51,0.52,0.54,0.41,0.47,0.65,0.37,0.39,0.46,0.55,0.53,0.52
Warmińsko-Mazurskie,0.53,0.57,0.38,0.41,0.41,0.56,0.44,0.50,0.32,0.46,0.48,0.56,0.53,0.58
Wielkopolskie,0.78,0.79,0.62,0.56,0.52,0.48,0.58,0.72,0.60,0.62,0.56,0.62,0.59,0.63
Zachodniopomorskie,0.73,0.81,0.54,0.45,0.41,0.57,0.51,0.83,0.63,0.53,0.54,0.50,0.49,0.56
