REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,210,377,245,370,191,181,129,,57,75,459,129,106,207,619
Dolnośląskie,39,36,29,13,30,25,9,,0,29,56,0,0,8,0
Kujawsko-Pomorskie,4,8,9,13,4,3,0,,1,1,10,8,4,39,93
Lubelskie,1,3,5,7,4,2,0,,0,10,4,34,9,14,16
Lubuskie,1,4,1,1,0,2,1,,0,0,80,0,0,1,1
Łódzkie,1,0,1,0,0,2,0,,5,1,6,0,11,19,47
Małopolskie,1,3,2,0,9,2,0,,4,1,7,3,8,7,19
Mazowieckie,9,80,56,17,24,43,8,,1,13,83,42,9,8,26
Opolskie,0,23,2,4,0,0,0,,0,2,8,1,1,5,2
Podkarpackie,3,6,2,6,6,4,1,,1,0,29,6,13,17,235
Podlaskie,52,28,3,0,7,5,4,,5,3,16,11,21,9,19
Pomorskie,1,8,5,0,0,0,0,,1,5,2,7,8,31,23
Śląskie,0,1,2,9,12,3,2,,2,2,26,2,4,20,16
Świętokrzyskie,4,3,2,1,0,0,0,,1,1,0,0,7,2,8
Warmińsko-Mazurskie,13,8,7,6,1,11,34,,10,0,12,4,2,9,2
Wielkopolskie,71,161,97,283,84,74,66,,25,7,83,10,9,18,108
Zachodniopomorskie,10,5,22,10,10,5,4,,1,0,37,1,0,0,4
