REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,10.0,10.9,10.7,11.7,11.8,12.4,11.8,14.0,15.7,16.5,17.9,17.0,18.0,17.8,18.3
Dolnośląskie,11.6,11.5,11.5,11.0,10.9,11.2,12.2,14.1,16.9,18.9,17.2,17.7,18.4,20.0,17.3
Kujawsko-Pomorskie,6.3,11.0,10.3,9.2,11.1,9.8,10.1,13.8,12.8,16.0,18.0,16.9,14.5,15.6,15.5
Lubelskie,8.3,6.4,10.9,11.5,10.0,7.8,10.9,12.0,14.1,13.3,18.7,14.6,14.6,16.5,14.9
Lubuskie,7.8,9.7,7.7,9.4,7.1,10.7,7.1,7.7,15.5,11.5,14.9,13.5,15.8,13.4,14.9
Łódzkie,8.7,10.4,12.1,11.0,11.5,13.6,15.0,13.1,14.7,16.5,17.8,15.7,21.6,20.5,18.3
Małopolskie,10.9,11.0,10.4,13.4,12.9,13.3,11.3,15.6,16.2,16.8,17.9,17.3,20.4,18.4,21.3
Mazowieckie,11.7,15.0,13.9,15.0,14.9,17.5,15.5,17.5,19.4,20.2,21.5,19.5,20.4,19.7,20.3
Opolskie,9.1,8.7,7.7,11.7,12.7,9.4,10.6,12.0,14.9,16.3,15.6,16.4,16.2,19.2,15.6
Podkarpackie,7.1,8.3,9.7,9.1,10.4,12.1,10.7,11.6,14.7,14.4,16.9,14.6,17.4,17.7,18.6
Podlaskie,11.9,12.1,9.4,16.3,14.3,16.8,14.5,15.9,11.1,17.2,18.1,19.5,17.1,19.9,19.5
Pomorskie,9.6,11.3,9.5,11.0,11.8,9.5,10.7,13.4,14.7,15.1,14.9,15.4,14.6,14.3,14.8
Śląskie,10.5,10.5,10.9,10.0,11.1,12.0,12.1,12.3,15.3,14.9,18.3,16.7,18.2,18.0,16.5
Świętokrzyskie,9.4,7.5,6.8,8.5,6.5,5.7,6.8,14.6,10.0,12.9,12.5,12.9,14.0,11.5,15.4
Warmińsko-Mazurskie,6.0,6.2,7.1,9.6,11.4,12.0,7.1,11.7,13.0,16.4,13.9,15.2,16.1,14.4,16.3
Wielkopolskie,11.5,10.7,10.4,11.9,11.7,11.6,10.6,13.8,16.5,16.4,18.9,17.9,17.9,19.1,19.1
Zachodniopomorskie,8.3,9.6,8.6,10.3,9.7,10.1,7.9,13.0,15.2,15.1,15.1,18.0,16.4,12.0,20.8
