REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,2.48,2.61,2.80,2.86,2.91,2.96,3.02,3.03,3.03,3.07,2.64,3.02,3.22,3.49
Dolnośląskie,2.37,2.55,2.66,2.73,2.78,2.90,2.92,2.97,3.03,3.11,2.63,3.01,3.17,3.43
Kujawsko-Pomorskie,2.36,2.44,2.71,2.69,2.74,2.79,2.81,2.77,2.80,2.81,2.42,2.72,2.88,3.17
Lubelskie,2.32,2.46,2.69,2.65,2.70,2.82,2.80,2.83,2.84,2.83,2.35,2.79,2.98,3.24
Lubuskie,1.87,1.92,2.37,2.44,2.47,2.47,2.53,2.41,2.33,2.25,1.93,2.18,2.31,2.54
Łódzkie,2.45,2.56,2.69,2.75,2.84,2.85,2.94,3.00,3.00,3.07,2.62,2.98,3.24,3.57
Małopolskie,2.65,2.75,2.94,3.06,3.11,3.23,3.33,3.32,3.33,3.31,2.90,3.21,3.38,3.66
Mazowieckie,2.93,3.28,3.57,3.66,3.70,3.77,3.91,3.94,3.96,4.09,3.58,4.20,4.48,4.84
Opolskie,2.07,2.01,2.11,2.20,2.22,2.26,2.29,2.26,2.33,2.33,2.02,2.23,2.35,2.52
Podkarpackie,2.10,2.20,2.33,2.44,2.47,2.49,2.53,2.57,2.50,2.52,2.09,2.41,2.53,2.77
Podlaskie,2.59,2.67,2.91,3.02,3.07,3.18,3.26,3.16,2.99,3.01,2.51,3.04,3.24,3.53
Pomorskie,2.58,2.65,2.77,2.77,2.87,2.92,2.98,3.05,3.03,3.14,2.78,3.20,3.32,3.66
Śląskie,2.87,3.00,3.08,3.20,3.26,3.24,3.35,3.31,3.33,3.32,2.83,3.22,3.44,3.71
Świętokrzyskie,1.98,2.11,2.32,2.41,2.44,2.43,2.39,2.41,2.40,2.46,2.07,2.35,2.55,2.74
Warmińsko-Mazurskie,1.97,2.14,2.30,2.37,2.38,2.45,2.49,2.45,2.41,2.40,2.12,2.39,2.54,2.67
Wielkopolskie,2.45,2.42,2.52,2.53,2.54,2.52,2.57,2.57,2.57,2.59,2.21,2.50,2.70,2.89
Zachodniopomorskie,2.08,2.16,2.54,2.53,2.58,2.63,2.64,2.60,2.64,2.67,2.23,2.53,2.70,2.88
