REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,36.8,37.0,37.2,37.3,37.4,37.6,38.2,39.6,40.1,40.6,41.5,42.2,43.1,43.5,44.3
Dolnośląskie,37.4,37.7,37.9,38.1,39.1,40.2,41.0,42.5,43.3,44.0,44.7,45.9,46.9,46.5,47.3
Kujawsko-Pomorskie,33.9,34.1,34.3,34.3,35.4,34.7,35.1,36.5,36.8,37.2,38.7,38.9,39.8,40.4,41.2
Lubelskie,35.2,35.5,35.7,36.1,36.1,36.3,36.8,38.0,38.4,38.3,39.6,40.4,41.1,41.7,42.4
Lubuskie,35.1,35.3,35.4,35.5,35.2,34.8,36.7,38.4,40.0,40.3,41.3,41.8,42.8,43.4,44.1
Łódzkie,39.5,39.7,39.8,39.9,39.6,40.4,41.0,42.4,42.8,43.2,44.2,45.4,46.4,46.9,47.9
Małopolskie,35.9,36.1,36.1,36.3,36.7,37.0,37.8,39.1,39.6,40.0,40.2,41.1,41.9,41.8,42.4
Mazowieckie,39.7,39.9,40.4,40.5,40.4,40.9,41.3,43.0,43.5,44.2,44.2,44.7,45.8,46.8,47.8
Opolskie,39.1,39.2,39.3,39.3,38.9,39.3,39.7,40.7,41.0,41.2,42.6,43.2,43.8,43.6,44.1
Podkarpackie,31.9,32.3,32.2,32.3,32.2,32.4,32.7,33.7,34.1,34.3,35.3,35.9,36.5,37.0,37.6
Podlaskie,39.0,39.2,39.2,39.4,39.4,39.5,39.8,40.8,41.2,41.6,42.9,43.4,44.2,44.8,45.5
Pomorskie,37.6,38.3,38.6,38.8,38.4,36.7,37.2,38.6,38.6,40.1,42.6,41.1,42.3,43.2,44.2
Śląskie,39.8,39.9,39.9,40.0,40.0,40.4,40.8,41.8,42.2,42.5,43.8,44.8,45.5,45.0,45.6
Świętokrzyskie,35.6,35.9,36.1,36.3,36.3,36.5,36.9,38.0,38.4,39.0,40.4,40.9,41.7,42.3,43.1
Warmińsko-Mazurskie,33.5,33.0,32.9,33.5,33.6,33.7,34.0,35.6,36.3,37.3,37.9,39.7,40.4,41.1,41.9
Wielkopolskie,33.4,33.6,33.7,33.8,33.7,33.9,34.5,36.2,37.0,37.6,37.5,38.5,39.5,40.2,41.0
Zachodniopomorskie,35.8,36.3,36.7,36.8,36.6,37.2,37.9,39.6,40.4,41.0,42.0,43.0,44.2,44.9,46.0
