REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,8.6,10.0,10.5,13.5,19.8,23.4,25.2,27.1,28.9,31.2,37.9,39.8,39.9,40.7,42.0
Dolnośląskie,7.1,7.2,8.2,11.0,17.1,20.2,21.3,22.5,24.3,27.5,33.9,35.9,37.2,37.4,38.2
Kujawsko-Pomorskie,9.6,9.6,9.7,14.1,18.6,21.6,23.8,25.8,28.6,30.2,35.8,37.2,36.2,37.4,38.7
Lubelskie,9.2,9.3,10.4,13.0,20.0,22.7,25.9,28.6,32.6,39.2,47.9,50.0,48.5,49.1,50.3
Lubuskie,6.6,7.8,10.5,12.5,21.4,18.8,21.5,22.4,23.3,26.3,32.5,36.3,36.2,37.2,36.9
Łódzkie,8.5,10.0,11.4,12.9,26.1,27.4,27.5,27.6,30.6,32.6,38.7,39.4,39.6,40.4,41.4
Małopolskie,11.6,15.2,14.5,15.6,21.6,23.9,27.3,30.3,32.5,33.2,39.8,41.1,41.5,42.8,44.0
Mazowieckie,8.9,11.1,12.2,14.6,17.7,25.0,26.4,26.5,26.4,28.1,36.5,37.5,38.1,38.5,39.6
Opolskie,7.0,8.1,8.8,12.9,23.6,28.0,27.2,31.8,32.9,35.3,39.8,41.7,42.4,43.7,46.4
Podkarpackie,10.7,11.7,12.1,15.1,18.6,23.5,24.4,24.4,27.4,29.5,37.2,39.6,39.9,40.0,41.3
Podlaskie,4.3,6.0,5.3,7.3,13.9,18.5,19.2,25.3,26.9,31.5,37.5,38.6,40.1,40.5,42.2
Pomorskie,6.7,7.9,8.5,12.8,18.9,22.3,23.8,27.2,28.9,32.3,43.4,44.0,43.0,44.4,45.6
Śląskie,8.7,10.2,10.2,13.8,23.5,30.7,34.7,35.9,39.1,39.3,44.2,45.3,44.5,44.9,46.3
Świętokrzyskie,7.0,8.0,7.8,16.4,25.9,26.3,27.3,28.0,27.9,29.5,31.1,32.3,33.6,35.0,36.3
Warmińsko-Mazurskie,6.5,8.6,8.4,13.9,14.1,13.9,16.9,18.0,19.5,22.1,30.6,37.1,38.0,39.2,41.2
Wielkopolskie,10.3,11.2,11.8,14.0,18.3,18.4,20.2,24.2,25.9,29.0,34.9,38.9,39.8,40.8,43.1
Zachodniopomorskie,8.0,10.2,9.6,12.4,17.7,19.9,19.8,22.8,23.1,26.5,32.2,35.2,35.1,35.5,37.7
