REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,1915,2195,1787,1643,1534,1439,1033,504,510,452,96,329,307,285
Dolnośląskie,287,287,299,152,157,163,66,71,53,66,6,1,2,103
Kujawsko-Pomorskie,22,48,26,45,36,41,25,40,43,17,7,6,17,9
Lubelskie,55,71,52,33,16,7,16,2,13,21,3,8,13,15
Lubuskie,54,0,29,4,145,108,1,2,5,3,2,41,7,10
Łódzkie,30,47,11,9,47,46,17,10,10,12,1,5,115,8
Małopolskie,105,179,117,90,16,27,35,4,4,2,3,3,7,14
Mazowieckie,102,84,31,123,97,142,70,34,23,28,14,20,29,23
Opolskie,4,7,13,12,10,13,7,6,3,3,0,2,1,3
Podkarpackie,4,14,9,3,28,25,22,18,53,42,1,2,9,7
Podlaskie,70,35,44,31,38,26,10,10,10,16,4,4,2,5
Pomorskie,140,57,123,54,39,49,82,40,110,20,18,11,24,13
Śląskie,742,944,820,733,635,571,497,163,52,99,23,89,14,11
Świętokrzyskie,17,32,91,95,115,87,73,40,35,68,3,1,9,6
Warmińsko-Mazurskie,8,35,22,124,99,14,103,52,6,5,5,126,1,5
Wielkopolskie,57,53,28,12,48,48,2,10,87,44,4,7,41,20
Zachodniopomorskie,218,302,72,123,8,72,7,2,3,6,2,3,16,33
