year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,5099,3775,5258,4581,3766,6151,4908,6037,5020,3328,4512,4495,5524,4936,4249,7430,3386
2011,5435,4190,5536,5300,3985,6892,5834,6494,5543,3537,5059,4811,6072,5980,4273,6814,3492
2012,6281,4728,6878,5849,4572,7368,6392,7219,6575,3859,5700,5806,7611,6262,5221,8448,4330
2013,7180,5419,8093,6573,6090,7889,6214,8980,6926,4490,6462,6303,7658,6802,5319,10154,5017
2014,7742,5590,8577,6861,5889,10080,7631,9443,7633,4597,6698,7248,8120,7865,5796,10446,5345
2015,7044,4877,7301,5904,5683,8388,6658,8902,6285,4146,6581,6140,7848,7420,5440,10180,4751
2016,7235,5346,7898,6742,5587,8896,7188,9087,6334,4235,5921,6313,8393,7995,5216,10356,4383
2017,7231,4855,7385,6597,5315,8147,6691,9520,5865,4373,6537,6435,7963,7968,5641,10414,4152
2018,7719,5145,7566,7037,5098,8641,7290,9941,6467,4851,7168,6726,8758,9713,5928,10989,4226
2019,7883,5224,8076,6811,5173,8605,7106,10107,6366,4467,7497,7001,10810,8508,6098,11902,4710
2020,9046,6315,9481,8572,5388,11765,8617,12420,7295,5170,7836,7923,9829,10100,6628,11943,5536
2021,8522,5412,8626,7872,5887,10391,6996,11880,7258,5008,8599,7419,8893,9098,6309,11741,5092
2022,9786,6191,10565,9083,5791,12508,8048,13039,8108,5263,9603,8462,8902,9788,7297,13887,7057
2023,16221,9391,18778,13497,9194,22090,18313,21419,13313,8611,14796,13088,27076,19210,10983,21056,10011
