year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,13.8,14.0,14.1,15.1,11.5,10.0,13.7,13.4,15.5,16.1,13.9,12.6,17.3,13.1,14.8,13.3,12.8
2011,12.8,14.0,13.2,16.7,10.6,9.5,14.7,11.7,16.2,16.6,11.3,12.0,13.3,12.5,11.6,13.3,9.3
2012,12.9,15.4,12.4,12.2,13.1,10.9,13.2,12.3,16.2,14.4,19.3,9.8,16.1,13.1,11.6,9.6,12.6
2013,13.3,15.2,10.1,12.1,14.9,12.6,13.6,14.4,15.7,15.8,17.3,12.6,12.2,12.6,13.7,12.3,12.5
2014,13.3,15.7,10.9,17.4,11.7,10.7,12.7,14.7,16.3,14.8,13.1,12.9,16.6,9.5,11.5,10.2,13.5
2015,14.0,15.2,11.6,14.5,11.2,12.5,14.5,15.3,16.4,14.4,14.5,12.7,15.8,10.9,13.5,13.3,13.2
2016,14.7,14.5,13.1,15.0,15.5,12.2,16.9,16.6,16.0,19.7,15.3,13.7,15.6,12.8,10.5,13.0,11.5
2017,14.7,15.2,12.7,13.8,12.0,12.2,17.3,15.2,17.5,15.9,13.2,15.1,15.0,15.8,11.2,15.1,14.4
2018,15.7,14.0,14.1,19.1,12.9,11.4,14.6,19.2,21.9,23.8,14.1,14.8,16.3,16.8,15.2,14.9,8.9
2019,14.4,14.3,13.5,11.4,12.3,15.0,15.6,15.8,17.7,18.6,22.6,14.0,14.0,13.6,12.8,12.8,8.8
2020,15.1,17.2,12.5,15.4,13.6,15.5,16.1,17.2,12.4,19.1,19.5,15.7,14.6,12.0,13.6,12.2,12.9
2021,18.2,17.7,18.1,18.8,14.0,15.5,19.8,21.0,17.1,26.2,21.3,19.2,19.0,16.8,15.9,15.0,12.3
2022,20.2,21.4,20.3,24.2,19.6,21.5,19.4,21.5,20.3,22.5,22.7,22.4,18.9,14.3,20.5,19.0,15.4
2023,,,,,,,,,,,,,,,,,
2024,20.6,19.0,18.7,22.5,13.6,19.9,21.6,21.9,22.7,23.3,22.7,22.5,20.2,19.4,20.7,20.1,17.9
