REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Śląskie,endokrynologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.10,0.04,0.04
Świętokrzyskie,endokrynologia,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.04,0.04
Warmińsko-Mazurskie,endokrynologia,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.06,0.03,0.03
Wielkopolskie,endokrynologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.03,0.03
Zachodniopomorskie,endokrynologia,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.09,0.03,0.03
Polska,diabetologia,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04
Dolnośląskie,diabetologia,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.03,0.03,0.04
Kujawsko-Pomorskie,diabetologia,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03
Lubelskie,diabetologia,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.04,0.05,0.05
Lubuskie,diabetologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02
Łódzkie,diabetologia,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.06,0.05
Małopolskie,diabetologia,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04
Mazowieckie,diabetologia,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.07
Opolskie,diabetologia,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.03
Podkarpackie,diabetologia,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02
Podlaskie,diabetologia,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.04,0.06,0.05
Pomorskie,diabetologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03
Śląskie,diabetologia,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04
Świętokrzyskie,diabetologia,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
Warmińsko-Mazurskie,diabetologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03
Wielkopolskie,diabetologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03
Zachodniopomorskie,diabetologia,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04
Polska,okulistyka,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.09,0.10
Dolnośląskie,okulistyka,0.06,0.05,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.11,0.11
Kujawsko-Pomorskie,okulistyka,0.05,0.05,0.06,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.07,0.05,0.08,0.08
Lubelskie,okulistyka,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.09,0.09
Lubuskie,okulistyka,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.06,0.06,0.03,0.06,0.06
Łódzkie,okulistyka,0.05,0.06,0.06,0.00,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.07,0.12,0.12
Małopolskie,okulistyka,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.09,0.09
Mazowieckie,okulistyka,0.04,0.05,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.11,0.13
Opolskie,okulistyka,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.03,0.04,0.04,0.05,0.06,0.06
Podkarpackie,okulistyka,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06
Podlaskie,okulistyka,0.04,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.07,0.09,0.09
Pomorskie,okulistyka,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.08,0.09
Śląskie,okulistyka,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.11,0.11
Świętokrzyskie,okulistyka,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.08,0.08
Warmińsko-Mazurskie,okulistyka,0.03,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.05,0.06,0.04,0.06,0.06
Wielkopolskie,okulistyka,0.03,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.06,0.08,0.09
Zachodniopomorskie,okulistyka,0.06,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.08,0.07,0.07,0.05,0.08,0.08
Polska,onkologia,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.04
Dolnośląskie,onkologia,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.03
Kujawsko-Pomorskie,onkologia,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02
Lubelskie,onkologia,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.05,0.04,0.03
Lubuskie,onkologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
Łódzkie,onkologia,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.06,0.03,0.03
Małopolskie,onkologia,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.03
Mazowieckie,onkologia,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.08
Opolskie,onkologia,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01
Podkarpackie,onkologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02
Podlaskie,onkologia,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.06,0.04,0.04
Pomorskie,onkologia,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.03
Śląskie,onkologia,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.04,0.04,0.04
Świętokrzyskie,onkologia,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.02
Warmińsko-Mazurskie,onkologia,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03
Wielkopolskie,onkologia,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03
Zachodniopomorskie,onkologia,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.03,0.03
Polska,otolaryngologia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.06,0.06
Dolnośląskie,otolaryngologia,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.06
Kujawsko-Pomorskie,otolaryngologia,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.03,0.05,0.06
Lubelskie,otolaryngologia,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.05,0.06,0.06
Lubuskie,otolaryngologia,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.03,0.03
Łódzkie,otolaryngologia,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.07,0.07
Małopolskie,otolaryngologia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05
Mazowieckie,otolaryngologia,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.07,0.07,0.08
Opolskie,otolaryngologia,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.05,0.05
Podkarpackie,otolaryngologia,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.04
Podlaskie,otolaryngologia,0.03,0.04,0.05,0.04,0.03,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.06,0.06
Pomorskie,otolaryngologia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05
Śląskie,otolaryngologia,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.06
Świętokrzyskie,otolaryngologia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04
Warmińsko-Mazurskie,otolaryngologia,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.05
Wielkopolskie,otolaryngologia,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.06,0.06
Zachodniopomorskie,otolaryngologia,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.03,0.04,0.04
Polska,pediatria,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.19,0.19,0.20
Dolnośląskie,pediatria,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.09,0.08,0.09,0.09,0.22,0.22,0.23
Kujawsko-Pomorskie,pediatria,0.10,0.09,0.10,0.11,0.10,0.11,0.12,0.11,0.11,0.11,0.12,0.19,0.19,0.20
Lubelskie,pediatria,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.15,0.16,0.15
Lubuskie,pediatria,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.11
Łódzkie,pediatria,0.12,0.12,0.11,0.11,0.12,0.11,0.13,0.14,0.14,0.13,0.12,0.23,0.24,0.24
Małopolskie,pediatria,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.10,0.10,0.10,0.10,0.19,0.19,0.19
Mazowieckie,pediatria,0.09,0.09,0.10,0.10,0.10,0.10,0.10,0.11,0.10,0.11,0.11,0.24,0.24,0.28
Opolskie,pediatria,0.06,0.07,0.07,0.07,0.07,0.08,0.09,0.08,0.09,0.09,0.09,0.13,0.13,0.14
Podkarpackie,pediatria,0.08,0.08,0.08,0.08,0.09,0.10,0.10,0.09,0.10,0.10,0.10,0.15,0.15,0.15
Podlaskie,pediatria,0.09,0.09,0.09,0.08,0.07,0.07,0.08,0.07,0.07,0.08,0.07,0.22,0.23,0.23
Pomorskie,pediatria,0.09,0.09,0.08,0.08,0.09,0.10,0.11,0.10,0.11,0.10,0.10,0.19,0.19,0.21
Śląskie,pediatria,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.18,0.18,0.18
Świętokrzyskie,pediatria,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.09,0.09,0.14,0.13,0.13
Warmińsko-Mazurskie,pediatria,0.08,0.09,0.08,0.07,0.07,0.08,0.09,0.09,0.08,0.08,0.09,0.15,0.16,0.15
Wielkopolskie,pediatria,0.06,0.06,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.19,0.19,0.19
Zachodniopomorskie,pediatria,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.11,0.11,0.11,0.15,0.15,0.15
Polska,położnictwo i ginekologia,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.09,0.10,0.16,0.16,0.16
Dolnośląskie,położnictwo i ginekologia,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.16,0.16,0.16
Kujawsko-Pomorskie,położnictwo i ginekologia,0.10,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.12,0.14,0.14,0.14
Lubelskie,położnictwo i ginekologia,0.10,0.11,0.11,0.10,0.10,0.10,0.10,0.10,0.10,0.09,0.11,0.17,0.17,0.17
Lubuskie,położnictwo i ginekologia,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.10,0.09,0.14,0.13,0.14
Łódzkie,położnictwo i ginekologia,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.10,0.11,0.12,0.20,0.20,0.19
Małopolskie,położnictwo i ginekologia,0.09,0.08,0.09,0.08,0.08,0.08,0.09,0.09,0.08,0.07,0.07,0.16,0.16,0.15
Mazowieckie,położnictwo i ginekologia,0.10,0.10,0.11,0.10,0.11,0.11,0.11,0.10,0.10,0.10,0.10,0.20,0.19,0.21
Opolskie,położnictwo i ginekologia,0.10,0.10,0.10,0.09,0.10,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14
Podkarpackie,położnictwo i ginekologia,0.09,0.10,0.10,0.10,0.09,0.09,0.10,0.10,0.09,0.10,0.10,0.12,0.12,0.13
Podlaskie,położnictwo i ginekologia,0.11,0.12,0.12,0.11,0.11,0.12,0.11,0.10,0.10,0.09,0.09,0.15,0.16,0.17
Pomorskie,położnictwo i ginekologia,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.08,0.07,0.07,0.15,0.14,0.15
Śląskie,położnictwo i ginekologia,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.10,0.11,0.10,0.11,0.17,0.17,0.17
Świętokrzyskie,położnictwo i ginekologia,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.10,0.09,0.09,0.13,0.13,0.14
Warmińsko-Mazurskie,położnictwo i ginekologia,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.10,0.09,0.10,0.12,0.14,0.13,0.13
Wielkopolskie,położnictwo i ginekologia,0.09,0.07,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.15,0.15,0.15
Zachodniopomorskie,położnictwo i ginekologia,0.14,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.14,0.14,0.14,0.17,0.17,0.17
Polska,psychiatria,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.10,0.10,0.11
Dolnośląskie,psychiatria,0.03,0.05,0.04,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.05,0.10,0.10,0.10
Kujawsko-Pomorskie,psychiatria,0.06,0.06,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.09,0.09,0.10
Lubelskie,psychiatria,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.09,0.10,0.09
Lubuskie,psychiatria,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.05,0.07,0.07,0.07
Łódzkie,psychiatria,0.06,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.12,0.13,0.13
Małopolskie,psychiatria,0.06,0.06,0.07,0.06,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.11,0.11,0.12
Mazowieckie,psychiatria,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09,0.09,0.14,0.14,0.16
Opolskie,psychiatria,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.07,0.06,0.06
Podkarpackie,psychiatria,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.05,0.07,0.08,0.08
Podlaskie,psychiatria,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.10,0.12,0.13,0.13
Pomorskie,psychiatria,0.05,0.05,0.04,0.06,0.05,0.06,0.07,0.07,0.07,0.06,0.07,0.11,0.11,0.11
Śląskie,psychiatria,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.10,0.10,0.10
Świętokrzyskie,psychiatria,0.06,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.09,0.09,0.09
Warmińsko-Mazurskie,psychiatria,0.05,0.05,0.05,0.06,0.04,0.05,0.05,0.05,0.04,0.05,0.06,0.07,0.07,0.06
Wielkopolskie,psychiatria,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.07,0.07,0.08
Zachodniopomorskie,psychiatria,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.06,0.09,0.09,0.09
Polska,radiodiagnostyka,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.10,0.11,0.11
Dolnośląskie,radiodiagnostyka,0.05,0.05,0.06,0.07,0.06,0.07,0.05,0.06,0.07,0.07,0.07,0.11,0.11,0.12
Kujawsko-Pomorskie,radiodiagnostyka,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.07,0.08,0.09,0.10,0.10
Lubelskie,radiodiagnostyka,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.13,0.14,0.14
Lubuskie,radiodiagnostyka,0.04,0.03,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.07
Łódzkie,radiodiagnostyka,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.05,0.06,0.06,0.07,0.10,0.10,0.11
Małopolskie,radiodiagnostyka,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.09,0.09,0.10
Mazowieckie,radiodiagnostyka,0.07,0.06,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.13,0.13,0.16
Opolskie,radiodiagnostyka,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.07,0.07,0.07
Podkarpackie,radiodiagnostyka,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.06,0.08,0.08,0.08
Podlaskie,radiodiagnostyka,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.13,0.13,0.14
Pomorskie,radiodiagnostyka,0.06,0.05,0.07,0.06,0.06,0.07,0.06,0.05,0.06,0.06,0.06,0.14,0.14,0.14
Śląskie,radiodiagnostyka,0.06,0.06,0.06,0.07,0.07,0.06,0.07,0.07,0.08,0.08,0.08,0.10,0.11,0.11
Świętokrzyskie,radiodiagnostyka,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.09,0.09,0.10,0.11,0.11
Warmińsko-Mazurskie,radiodiagnostyka,0.03,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07
Wielkopolskie,radiodiagnostyka,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.08,0.08,0.09
Zachodniopomorskie,radiodiagnostyka,0.05,0.05,0.06,0.06,0.06,0.07,0.06,0.06,0.09,0.08,0.08,0.10,0.10,0.10
