REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Opolskie,chirurgia,0.19,0.20,0.21,0.20,0.21,0.22,0.23,0.24,0.21,0.21,0.22,0.30,0.28,0.28
Podkarpackie,chirurgia,0.19,0.19,0.20,0.20,0.20,0.20,0.21,0.20,0.24,0.23,0.23,0.26,0.25,0.26
Podlaskie,chirurgia,0.16,0.19,0.22,0.20,0.20,0.23,0.22,0.20,0.19,0.21,0.21,0.33,0.34,0.34
Pomorskie,chirurgia,0.17,0.16,0.18,0.17,0.19,0.19,0.19,0.19,0.20,0.18,0.19,0.30,0.30,0.32
Śląskie,chirurgia,0.22,0.23,0.24,0.23,0.24,0.25,0.24,0.25,0.23,0.23,0.25,0.38,0.38,0.39
Świętokrzyskie,chirurgia,0.20,0.22,0.23,0.21,0.23,0.23,0.25,0.26,0.26,0.25,0.29,0.31,0.31,0.31
Warmińsko-Mazurskie,chirurgia,0.20,0.20,0.25,0.25,0.24,0.24,0.26,0.24,0.25,0.25,0.30,0.30,0.29,0.30
Wielkopolskie,chirurgia,0.18,0.16,0.18,0.17,0.18,0.17,0.17,0.16,0.18,0.17,0.19,0.30,0.30,0.30
Zachodniopomorskie,chirurgia,0.19,0.20,0.23,0.23,0.23,0.23,0.23,0.23,0.26,0.27,0.29,0.33,0.33,0.34
Polska,choroby płuc,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.06
Dolnośląskie,choroby płuc,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.06,0.06,0.06
Kujawsko-Pomorskie,choroby płuc,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05
Lubelskie,choroby płuc,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.08,0.07,0.07
Lubuskie,choroby płuc,0.02,0.02,0.03,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.04
Łódzkie,choroby płuc,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.08,0.08
Małopolskie,choroby płuc,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.08,0.08
Mazowieckie,choroby płuc,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.07,0.07,0.08
Opolskie,choroby płuc,0.02,0.03,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.07,0.06
Podkarpackie,choroby płuc,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.07,0.07,0.06
Podlaskie,choroby płuc,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05
Pomorskie,choroby płuc,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.05,0.06,0.06
Śląskie,choroby płuc,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.06,0.06,0.06
Świętokrzyskie,choroby płuc,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.07,0.08,0.07
Warmińsko-Mazurskie,choroby płuc,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.05
Wielkopolskie,choroby płuc,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05
Zachodniopomorskie,choroby płuc,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.06,0.06,0.06
Polska,choroby wewnętrzne,0.18,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.48,0.48,0.49
Dolnośląskie,choroby wewnętrzne,0.19,0.20,0.21,0.19,0.20,0.20,0.18,0.17,0.17,0.17,0.18,0.51,0.51,0.52
Kujawsko-Pomorskie,choroby wewnętrzne,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.38,0.39,0.40
Lubelskie,choroby wewnętrzne,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.13,0.14,0.15,0.16,0.49,0.50,0.50
Lubuskie,choroby wewnętrzne,0.09,0.10,0.12,0.11,0.09,0.09,0.09,0.10,0.08,0.09,0.10,0.24,0.25,0.25
Łódzkie,choroby wewnętrzne,0.22,0.24,0.23,0.23,0.24,0.21,0.22,0.22,0.21,0.21,0.22,0.55,0.56,0.55
Małopolskie,choroby wewnętrzne,0.19,0.20,0.21,0.19,0.18,0.19,0.18,0.18,0.17,0.17,0.18,0.53,0.52,0.52
Mazowieckie,choroby wewnętrzne,0.20,0.19,0.23,0.22,0.22,0.19,0.19,0.17,0.17,0.18,0.18,0.60,0.59,0.69
Opolskie,choroby wewnętrzne,0.16,0.15,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.34,0.34,0.33
