REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,18.2,18.7,19.6,19.2,20.0,20.1,21.2,23.8,23.7,24.5,26.1,29.0,30.3,30.5
Dolnośląskie,15.4,15.2,18.3,19.0,19.9,21.3,25.0,24.8,23.5,27.8,34.0,35.9,34.4,38.2
Kujawsko-Pomorskie,20.3,22.0,23.6,24.8,25.2,21.7,22.7,24.6,23.1,21.4,24.1,26.2,32.1,31.4
Lubelskie,17.1,18.4,19.0,18.4,16.2,16.1,16.9,19.5,18.7,18.6,19.4,19.0,24.2,24.5
Lubuskie,25.0,24.5,26.8,26.7,27.8,28.1,30.9,32.1,35.1,35.1,35.4,34.7,37.3,38.6
Łódzkie,22.2,24.6,25.3,22.8,22.8,20.0,21.8,27.5,32.3,29.9,28.3,35.0,36.9,33.6
Małopolskie,13.3,15.6,15.4,14.1,15.3,14.1,14.4,19.6,17.8,20.3,26.2,29.2,24.8,21.4
Mazowieckie,15.9,16.9,18.2,15.1,17.6,19.4,17.6,19.7,21.4,27.2,26.1,26.5,27.4,31.4
Opolskie,22.2,20.5,23.8,20.0,20.5,20.0,21.1,25.0,28.6,18.8,0.0,34.3,33.3,31.6
Podkarpackie,14.6,14.0,16.1,18.6,16.9,16.1,19.2,23.1,21.9,22.2,21.6,27.1,28.9,30.0
Podlaskie,16.7,20.4,24.5,20.8,19.2,20.4,18.5,18.5,18.9,21.2,22.6,25.5,25.5,25.6
Pomorskie,19.6,19.3,21.3,21.1,23.1,26.7,28.1,30.3,31.1,30.8,30.8,33.1,36.0,36.6
Śląskie,18.5,17.8,18.3,18.4,19.3,20.0,23.0,25.5,24.3,27.1,27.0,28.7,32.0,33.7
Świętokrzyskie,24.4,21.6,23.3,20.9,22.0,23.9,25.0,23.9,20.0,23.4,28.8,32.8,34.5,35.0
Warmińsko-Mazurskie,14.4,16.5,16.4,17.0,16.2,20.4,21.9,23.2,21.5,20.2,19.5,25.4,25.4,23.3
Wielkopolskie,21.7,20.4,19.7,21.2,22.5,20.7,22.1,24.7,21.7,21.3,22.8,28.6,27.1,25.0
Zachodniopomorskie,15.2,15.6,14.4,16.3,20.0,14.9,16.5,18.9,22.9,20.7,22.1,23.5,28.6,24.2
