REGION,PARAM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Małopolskie,służące gospodarce wodnej,7.15,9.83,6.87,7.96,8.78,6.28,2.72,1.78,2.46,4.26,3.48,4.36,6.66,4.93,4.48
Mazowieckie,służące gospodarce wodnej,9.86,4.95,4.42,4.24,6.96,7.22,3.58,4.56,5.58,6.47,6.52,7.52,8.7,11.68,9.25
Opolskie,służące gospodarce wodnej,1.12,1.75,2.13,2.7,3.77,3.98,2.41,1.04,1.23,1.8,1.58,2.97,4.82,8.19,1.21
Podkarpackie,służące gospodarce wodnej,2.61,2.12,2.56,2.88,3.2,2.2,1.23,1.63,1.84,3.61,3.27,3.93,4.17,5.43,3.31
Podlaskie,służące gospodarce wodnej,1.95,1.26,0.75,1.0,1.11,0.6,0.4,0.86,1.9,1.35,0.94,1.35,1.41,1.76,2.25
Pomorskie,służące gospodarce wodnej,4.0,3.13,4.46,3.86,2.66,3.45,0.96,1.22,2.28,2.58,2.18,3.03,2.25,3.84,3.35
Śląskie,służące gospodarce wodnej,3.6,4.45,4.97,6.72,5.95,7.37,4.56,8.01,6.88,12.86,7.6,4.36,4.63,4.74,5.36
Świętokrzyskie,służące gospodarce wodnej,2.02,1.43,1.05,1.32,1.07,0.96,0.31,0.68,1.23,1.14,1.5,1.38,1.71,1.58,1.4
Warmińsko-Mazurskie,służące gospodarce wodnej,1.97,1.86,1.34,1.46,2.14,1.18,0.42,0.5,0.88,1.28,0.61,1.04,1.3,2.29,1.76
Wielkopolskie,służące gospodarce wodnej,3.7,4.6,3.95,3.19,4.42,2.3,1.85,1.65,2.65,2.7,2.72,3.55,5.51,6.41,5.27
Zachodniopomorskie,służące gospodarce wodnej,4.22,2.51,2.03,2.06,1.65,1.23,0.78,0.81,1.41,1.62,1.6,1.38,2.61,2.09,2.62
