REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,11.0,11.7,12.1,12.5,12.2,11.2,10.8,9.7,8.8,7.9,8.6,11.2,8.1,6.9,7.0
Dolnośląskie,12.4,12.2,13.7,13.0,12.0,9.6,10.5,9.5,8.0,10.0,7.8,10.8,9.8,4.9,6.5
Kujawsko-Pomorskie,12.9,11.5,12.5,14.3,14.8,12.4,11.0,11.0,11.0,8.7,8.8,8.9,10.1,6.8,6.8
Lubelskie,10.6,13.1,12.0,12.5,13.9,11.5,11.5,11.7,8.1,8.3,13.7,12.4,9.0,7.1,8.1
Lubuskie,13.1,13.0,15.4,17.1,16.0,12.0,13.2,12.9,11.3,9.7,9.8,15.4,x,x,x
Łódzkie,8.7,11.0,12.8,10.7,10.6,10.1,8.3,7.9,8.7,7.6,5.4,9.7,8.4,9.3,8.3
Małopolskie,10.2,10.2,11.6,12.7,11.5,10.9,11.0,10.0,7.1,6.6,6.9,10.4,7.2,3.6,7.5
Mazowieckie,8.4,9.9,8.6,9.2,9.2,9.4,7.7,7.6,7.0,6.6,8.0,12.1,7.5,6.0,5.1
Opolskie,11.5,12.5,12.7,12.5,12.1,10.8,9.1,8.5,6.7,8.2,8.3,x,x,x,x
Podkarpackie,15.0,15.3,16.4,17.6,17.4,16.3,16.6,14.5,12.1,10.8,11.8,13.5,10.2,12.7,9.8
Podlaskie,9.8,10.1,9.8,10.3,10.3,8.9,10.1,8.2,7.8,7.2,9.1,10.2,x,x,x
Pomorskie,11.1,12.0,13.1,13.4,12.7,11.6,10.6,8.9,9.3,8.6,8.2,7.9,8.4,8.0,6.6
Śląskie,10.4,10.0,9.7,10.9,10.4,9.1,10.3,7.3,6.9,5.9,8.3,14.7,7.1,4.7,5.2
Świętokrzyskie,12.0,13.5,12.3,13.6,14.2,14.2,13.9,13.1,12.1,11.6,10.7,10.9,x,x,x
Warmińsko-Mazurskie,12.4,14.5,16.4,16.2,15.4,14.6,15.8,14.6,15.3,11.9,10.5,12.1,10.7,x,9.8
Wielkopolskie,10.8,11.7,12.4,12.4,11.7,10.9,8.4,7.7,7.1,5.7,6.3,7.6,5.6,7.9,6.4
Zachodniopomorskie,12.6,15.3,15.7,15.0,14.5,14.6,14.5,11.6,10.3,10.6,12.0,12.9,9.7,8.2,7.5
