REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,43.7,43.1,43.0,42.6,44.1,44.7,47.5,48.8,50.1,50.8,48.0,48.2,48.4,49.0,48.0
Dolnośląskie,46.3,43.8,43.1,43.3,46.3,46.1,49.5,47.9,50.4,55.2,51.6,50.4,49.1,53.3,53.0
Kujawsko-Pomorskie,42.9,41.3,41.5,41.2,43.6,45.0,45.6,48.0,48.5,49.8,47.6,44.0,45.1,43.4,47.9
Lubelskie,37.6,38.3,38.4,37.7,37.3,36.3,41.8,42.6,45.5,43.1,40.4,43.4,46.0,46.6,45.5
Lubuskie,45.3,43.2,43.3,41.5,38.6,42.2,46.2,47.3,47.2,47.7,47.0,46.9,46.5,46.1,45.4
Łódzkie,46.9,45.2,43.5,44.9,47.7,47.2,50.7,52.3,53.4,49.2,48.9,47.0,51.8,51.7,47.4
Małopolskie,41.1,40.1,40.6,41.3,42.5,44.0,46.8,44.8,48.9,51.3,48.0,45.9,48.3,49.9,50.3
Mazowieckie,49.0,48.7,47.5,46.0,50.0,49.5,49.5,50.6,51.1,53.7,50.6,51.2,51.8,52.3,51.7
Opolskie,44.1,43.9,45.5,42.8,43.9,45.1,49.1,51.6,52.4,51.8,47.8,52.4,47.8,48.8,47.1
Podkarpackie,34.3,34.0,32.6,33.0,33.7,33.8,40.7,43.3,43.3,43.3,39.8,39.3,40.5,41.7,38.1
Podlaskie,38.3,39.8,39.3,38.3,38.3,39.9,44.2,46.8,51.0,47.3,46.7,44.1,47.7,47.4,43.1
Pomorskie,44.7,44.8,45.3,44.5,44.8,48.6,49.4,51.5,52.1,54.4,49.7,51.0,46.4,47.4,50.1
Śląskie,44.7,45.9,47.1,46.1,45.7,46.1,50.8,52.1,52.0,53.4,49.8,49.9,49.9,51.0,46.3
Świętokrzyskie,40.4,38.6,39.9,39.8,40.2,40.4,43.2,45.5,45.9,43.9,43.3,43.8,45.2,43.8,43.5
Warmińsko-Mazurskie,40.2,40.0,37.5,36.2,38.1,38.7,41.3,44.0,46.6,44.4,42.0,42.9,42.0,44.4,43.9
Wielkopolskie,49.0,47.4,47.0,47.7,50.2,51.5,52.9,55.3,54.7,55.4,51.8,56.7,53.3,51.3,50.3
Zachodniopomorskie,36.6,37.8,39.7,39.5,40.0,41.6,41.6,45.1,49.4,47.0,44.7,45.0,44.5,46.0,45.6
