year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,63.2,72.9,61.0,45.1,81.4,57.6,59.5,79.6,46.4,26.4,76.5,81.0,44.8,42.7,60.4,72.9,65.0
2011,66.2,79.0,48.8,69.8,46.6,71.4,66.4,83.2,53.7,39.5,87.0,82.6,37.0,40.4,61.7,73.3,68.3
2012,73.0,76.8,65.5,81.7,91.9,71.4,70.6,89.9,60.4,41.2,90.4,91.6,48.0,60.7,70.5,74.6,73.2
2013,76.4,82.6,67.6,83.6,91.6,76.3,75.0,92.2,66.3,48.5,91.1,92.1,57.5,66.0,69.7,78.4,75.5
2014,81.5,90.4,71.4,89.9,91.3,78.9,78.9,93.3,69.9,55.9,91.1,92.9,65.4,72.2,82.5,87.7,83.7
2015,82.3,89.6,78.1,90.5,88.8,78.8,75.5,94.2,76.2,57.0,91.5,91.8,69.2,67.1,88.2,85.9,84.4
2016,84.0,90.9,86.2,91.9,92.5,79.1,64.1,96.7,76.9,59.7,92.4,92.8,74.4,70.2,91.7,85.0,86.2
2017,84.4,94.6,82.7,81.6,92.3,71.5,63.9,97.7,76.4,61.5,90.8,97.2,78.5,71.1,90.2,82.9,90.3
2018,89.2,98.0,87.6,88.2,93.5,72.2,89.1,99.1,77.3,79.1,93.6,98.0,80.1,82.4,93.2,86.9,92.1
2019,91.5,99.6,93.9,97.9,93.5,76.6,92.0,99.4,76.3,83.6,95.7,92.4,84.1,90.6,93.6,87.6,95.0
2020,92.1,99.5,96.4,86.5,93.4,84.9,92.8,99.4,76.3,86.4,96.5,97.3,85.3,81.2,93.6,88.2,93.4
2021,94.4,99.5,98.1,99.4,93.1,94.3,95.8,99.4,76.3,89.1,97.4,97.2,85.2,90.1,93.1,92.8,97.1
2022,94.8,99.5,99.8,99.6,90.0,95.5,95.5,99.4,78.2,88.2,99.5,96.9,85.4,97.4,93.7,93.7,98.5
2023,95.0,99.5,99.8,99.6,86.6,96.0,96.5,99.6,80.4,89.7,99.7,96.6,85.5,99.7,94.8,94.1,98.5
2024,97.6,99.6,99.2,99.3,86.5,98.8,97.3,99.5,81.0,90.7,99.7,97.0,98.7,99.7,100.0,93.7,99.5
