REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,472,451,435,402,382,365,351,336,320,313,319,321,324,330,341
Dolnośląskie,577,549,532,487,470,457,449,428,415,405,403,402,398,402,436
Kujawsko-Pomorskie,403,390,366,332,312,297,285,285,272,261,267,268,279,283,286
Lubelskie,466,443,430,398,382,366,350,341,330,325,334,330,327,325,337
Lubuskie,258,233,208,186,176,162,147,139,131,125,126,125,121,119,127
Łódzkie,452,427,403,367,349,330,319,313,287,283,291,297,291,296,293
Małopolskie,635,622,605,564,545,524,500,465,442,426,427,429,431,443,457
Mazowieckie,614,581,589,554,530,515,503,481,457,452,453,462,481,514,516
Opolskie,392,375,343,308,278,253,230,222,216,216,223,222,229,223,233
Podkarpackie,345,333,317,295,279,264,247,233,220,216,219,218,214,214,221
Podlaskie,441,424,391,352,322,300,288,266,252,245,245,251,250,251,262
Pomorskie,471,459,465,444,426,414,401,371,358,354,366,369,379,387,403
Śląskie,391,368,344,314,294,277,264,260,253,250,259,264,267,268,282
Świętokrzyskie,357,331,302,266,239,214,198,203,183,163,163,166,163,156,166
Warmińsko-Mazurskie,344,321,307,272,246,229,211,202,190,182,177,173,166,165,173
Wielkopolskie,476,462,442,413,391,382,365,351,331,328,337,330,326,320,324
Zachodniopomorskie,416,392,363,336,308,283,265,246,232,222,225,220,214,220,229
