REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Dolnośląskie,113.4,116.2,112.3,103.4,105.2,108.5,108.8,103.6,107.9,99.1,103.0,101.1,94.5,97.9
Kujawsko-Pomorskie,130.2,126.6,131.3,140.8,137.3,126.3,129.9,131.6,129.7,126.6,117.8,119.5,126.0,121.9
Lubelskie,60.4,67.1,64.0,64.6,61.0,60.2,65.4,67.2,65.4,66.9,68.5,69.2,65.9,66.0
Lubuskie,195.4,194.6,195.3,187.8,203.3,200.9,187.9,162.2,154.3,158.4,143.2,167.9,140.7,146.0
Łódzkie,94.0,94.5,91.0,91.7,100.5,91.8,94.8,95.2,90.7,93.8,92.8,92.3,98.3,97.4
Małopolskie,40.7,41.5,39.5,35.5,38.0,37.3,39.0,36.6,36.8,37.1,42.6,36.7,34.5,34.4
Mazowieckie,138.3,142.0,140.2,149.6,142.0,150.2,144.5,152.6,162.1,159.6,142.2,140.1,139.0,138.2
Opolskie,134.8,137.7,134.5,118.8,116.5,105.0,113.5,110.0,106.5,98.5,99.4,109.0,112.1,110.6
Podkarpackie,28.9,29.6,28.0,27.8,27.4,27.0,26.6,25.7,24.1,23.7,32.0,30.2,28.2,27.9
Podlaskie,112.0,109.9,108.5,117.7,110.5,105.8,105.9,109.7,108.5,112.7,97.5,103.8,102.5,102.7
Pomorskie,157.6,151.5,161.2,154.4,166.6,162.5,163.5,163.6,162.2,158.0,132.3,134.6,136.0,139.9
Śląskie,88.2,87.0,90.3,81.4,80.9,83.2,84.0,78.7,79.8,85.5,96.0,94.2,88.9,89.8
Świętokrzyskie,56.1,58.5,54.4,54.6,56.0,57.6,58.0,58.8,61.7,60.3,66.8,65.7,61.2,61.0
Warmińsko-Mazurskie,191.3,192.5,190.4,178.7,184.9,188.1,183.9,177.0,175.4,170.0,153.5,158.3,157.3,156.6
Wielkopolskie,142.1,133.7,144.2,141.4,142.5,144.1,145.5,148.8,142.8,146.2,128.9,121.9,131.1,133.5
Zachodniopomorskie,214.4,191.6,202.0,201.5,205.0,218.2,195.7,169.6,170.2,180.3,151.5,174.6,181.2,177.2
