REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,37143,39525,42301,43703,43164,43835,44259,44175,44648,45261,45041,45295,45380,45238
Dolnośląskie,5662,5757,6419,6403,6168,6311,6340,6075,5991,6085,5834,5858,5698,5768
Kujawsko-Pomorskie,5719,5682,6385,7046,6930,6822,7336,7642,7929,7977,8148,8372,8601,8840
Lubelskie,1328,1318,1424,1321,1341,1334,1343,1403,1392,1393,1393,1373,1344,1375
Lubuskie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Łódzkie,0,96,96,96,117,120,120,120,120,120,120,120,120,120
Małopolskie,5227,5088,5662,5784,5872,5833,5696,5897,6126,6118,5978,5837,5940,5728
Mazowieckie,238,238,235,151,155,122,125,125,248,239,249,249,230,233
Opolskie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podkarpackie,3740,3926,3923,3851,3822,4018,3988,3911,4047,3981,4059,4280,4191,4198
Podlaskie,195,195,194,186,249,249,219,257,296,347,347,406,406,469
Pomorskie,1133,1155,1483,1459,1526,2269,2279,2279,1958,1990,2058,2040,2037,1320
Śląskie,2298,3124,2737,2867,2657,2393,2625,2531,2509,2636,2555,2583,2552,2557
Świętokrzyskie,2030,2218,2811,2856,2889,3117,3113,3106,3100,3082,3002,3037,3158,3203
Warmińsko-Mazurskie,530,480,530,480,480,480,480,480,480,480,480,480,480,480
Wielkopolskie,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zachodniopomorskie,9043,10248,10402,11203,10958,10767,10595,10349,10452,10813,10818,10660,10623,10947
