REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,41.1,48.4,64.4,61.6,65.3,69.6,67.7,76.2,78.3,78.6,91.9,,93.1
Dolnośląskie,,,43.2,48.5,65.5,60.6,65.9,71.7,71.2,82.0,80.1,77.5,91.1,,92.9
Kujawsko-Pomorskie,,,41.8,50.2,60.4,55.2,61.4,70.3,68.2,76.9,81.1,82.9,89.7,,93.4
Lubelskie,,,26.7,41.3,56.3,54.1,62.2,64.1,61.6,69.9,69.1,73.1,90.8,,91.5
Lubuskie,,,32.5,44.3,62.8,57.9,62.7,64.5,67.4,79.7,77.9,80.6,92.4,,85.6
Łódzkie,,,40.3,44.3,60.1,58.1,60.2,66.8,61.7,74.1,78.9,77.7,97.0,,92.7
Małopolskie,,,36.8,43.0,60.6,58.1,67.8,64.6,67.9,75.2,77.2,78.4,93.7,,93.8
Mazowieckie,,,53.1,59.5,76.9,75.2,75.3,75.7,74.5,80.9,81.3,82.9,93.6,,95.1
Opolskie,,,36.4,46.0,60.6,57.4,66.0,64.5,64.9,72.8,76.6,76.6,91.9,,94.6
Podkarpackie,,,32.2,38.8,55.4,51.0,54.3,63.6,61.7,71.7,73.6,74.4,89.8,,92.6
Podlaskie,,,31.7,43.9,55.3,50.8,63.5,65.6,62.7,71.3,80.5,75.0,92.9,,89.7
Pomorskie,,,41.3,46.7,67.2,60.7,64.7,70.4,67.7,75.7,81.8,81.6,91.1,,94.7
Śląskie,,,46.3,54.5,65.3,64.5,68.2,74.5,69.2,78.2,80.2,79.7,90.3,,93.9
Świętokrzyskie,,,27.2,33.2,55.2,53.1,59.6,66.6,59.8,68.0,72.7,68.8,86.5,,88.6
Warmińsko-Mazurskie,,,26.6,39.0,65.9,55.6,54.9,67.9,63.5,69.7,74.2,76.7,89.1,,90.3
Wielkopolskie,,,42.0,48.7,64.5,62.8,61.7,66.6,66.3,74.5,76.5,76.3,91.5,,92.2
Zachodniopomorskie,,,39.2,45.6,57.4,58.8,62.0,70.3,66.8,75.7,75.3,77.7,91.5,,92.2
