year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,
2012,111521,11066,6477,4691,4760,10782,8003,10054,2739,6147,3815,6978,12475,4350,5843,8480,4861
2013,116354,11168,6504,5102,4825,11001,8418,10623,2888,6544,4150,7126,12822,4727,6536,9067,4853
2014,108902,9929,6026,5016,4278,10019,8158,10405,2788,6445,3801,6782,11855,4344,5921,8524,4611
2015,95247,8268,5080,4795,3479,8739,7271,9576,2432,5652,3424,5814,10205,4191,5148,7249,3924
2016,82211,7140,4561,4363,2816,7460,5871,8469,2250,4822,3042,5159,8344,3667,4767,6088,3392
2017,66827,5609,3595,3651,2239,5850,4878,7007,1948,4018,2572,3966,6870,3043,4111,4645,2825
2018,61118,5094,3236,3418,2022,5470,4414,6667,1725,3890,2454,3756,5954,2781,3660,4072,2505
2019,57479,4893,2883,3450,1794,5075,4152,6371,1656,3608,2253,3589,5395,2723,3345,3930,2362
2020,55669,4619,2677,3002,1837,4694,4327,6289,1592,3611,1976,3756,5543,2565,3037,3908,2236
2021,60973,5022,3013,3451,1712,5075,4561,6802,1779,4463,2253,4130,5979,2844,3499,4061,2329
2022,59559,4901,2959,3402,1611,4856,4462,6645,1875,4444,2189,3896,5705,2791,3388,4135,2300
2023,60855,5147,2989,3528,1573,4984,4287,6542,1816,4617,2230,4195,5826,2942,3471,4350,2358
