REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,,,,,,,,,,,,,0.04,0.07,0.10
Dolnośląskie,,,,,,,,,,,,,0.05,0.06,0.10
Kujawsko-Pomorskie,,,,,,,,,,,,,0.05,0.07,0.08
Lubelskie,,,,,,,,,,,,,0.03,0.02,0.01
Lubuskie,,,,,,,,,,,,,0.09,0.09,0.12
Łódzkie,,,,,,,,,,,,,0.03,0.05,0.09
Małopolskie,,,,,,,,,,,,,0.03,0.06,0.08
Mazowieckie,,,,,,,,,,,,,0.03,0.07,0.07
Opolskie,,,,,,,,,,,,,0.06,0.18,0.14
Podkarpackie,,,,,,,,,,,,,0.01,0.05,0.15
Podlaskie,,,,,,,,,,,,,0.03,0.05,0.11
Pomorskie,,,,,,,,,,,,,0.06,0.10,0.11
Śląskie,,,,,,,,,,,,,0.04,0.07,0.20
Świętokrzyskie,,,,,,,,,,,,,0.02,0.05,0.05
Warmińsko-Mazurskie,,,,,,,,,,,,,0.02,0.05,0.07
Wielkopolskie,,,,,,,,,,,,,0.05,0.08,0.07
Zachodniopomorskie,,,,,,,,,,,,,0.07,0.12,0.14
