REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Polska,10.3,10.8,11.2,11.4,11.5,12.4,12.3,12.2,12.4,12.6,12.1,12.8,13.6,14.0
Dolnośląskie,15.8,16.4,15.4,16.0,15.4,16.3,17.2,16.1,17.3,18.5,16.5,16.5,16.8,17.8
Kujawsko-Pomorskie,9.1,8.6,9.4,10.8,10.9,10.8,10.6,11.2,11.6,12.0,11.9,13.5,13.2,12.9
Lubelskie,5.8,7.2,7.5,8.2,9.7,10.7,10.3,10.1,10.3,10.5,12.2,12.9,17.7,19.0
Lubuskie,18.6,18.7,16.0,15.6,15.8,15.7,14.6,14.0,15.5,16.8,19.8,18.4,18.4,19.1
Łódzkie,11.1,11.7,13.4,13.2,13.0,15.1,14.3,14.4,14.7,14.7,15.1,15.0,16.7,14.8
Małopolskie,14.4,13.7,15.1,14.5,14.4,16.7,16.5,17.0,17.0,17.3,17.1,17.4,16.9,16.4
Mazowieckie,10.8,13.2,12.2,12.7,14.0,13.5,13.9,13.6,13.9,13.9,12.6,13.5,13.9,15.1
Opolskie,18.7,16.2,17.8,19.4,17.2,20.5,18.1,18.4,18.9,19.3,18.6,19.4,19.6,20.9
Podkarpackie,11.0,11.5,11.3,11.4,12.0,11.9,11.1,11.7,12.4,12.4,12.5,15.5,17.2,17.3
Podlaskie,6.2,6.4,6.3,6.9,5.9,6.4,5.7,6.1,6.2,5.5,4.8,6.2,6.0,7.0
Pomorskie,8.5,10.3,13.2,12.7,13.4,13.2,12.5,12.6,12.0,11.6,10.4,10.0,11.5,12.8
Śląskie,9.4,9.5,11.7,10.1,10.2,11.6,12.0,12.0,12.5,12.4,11.4,12.2,12.8,12.7
Świętokrzyskie,11.1,11.3,11.8,11.8,13.3,14.0,13.1,13.1,14.4,13.7,13.8,15.3,17.3,17.6
Warmińsko-Mazurskie,8.3,8.5,9.2,10.5,9.4,9.9,9.8,9.4,9.8,8.9,7.8,8.4,10.3,12.7
Wielkopolskie,5.4,5.9,5.0,4.6,4.0,6.3,5.6,5.6,5.1,5.6,5.1,6.2,6.5,6.2
Zachodniopomorskie,4.9,4.8,2.7,6.7,5.9,6.2,9.8,6.7,6.3,6.5,5.4,5.8,6.5,6.6
