year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,5.61,5.60,3.33,2.38,2.03,14.02,3.14,5.61,13.49,1.77,1.34,2.87,9.36,10.38,1.05,4.88,5.31
2011,5.73,5.47,3.35,2.57,2.04,15.74,3.28,5.42,13.75,1.74,1.37,3.03,9.37,10.83,0.96,4.84,5.36
2012,5.62,5.50,4.03,2.46,2.01,16.15,3.16,5.26,12.44,1.58,1.23,3.02,8.84,9.95,1.04,4.84,5.36
2013,5.65,5.25,3.79,2.19,1.97,17.06,3.28,5.40,12.12,1.52,1.65,2.84,8.95,9.07,1.10,4.96,5.50
2014,5.43,4.63,3.88,2.31,1.97,16.68,3.04,5.34,13.03,1.19,1.69,2.79,8.11,9.54,1.01,4.70,5.16
2015,5.50,4.42,4.01,2.33,1.96,16.92,3.22,5.35,12.38,1.44,1.66,2.87,8.47,9.95,1.01,4.69,5.02
2016,5.49,4.41,4.48,2.39,2.15,16.17,2.98,5.37,12.45,1.32,1.86,2.95,8.47,11.18,1.11,4.44,4.94
2017,5.57,4.14,4.69,2.38,2.16,17.42,3.23,5.42,12.99,1.32,1.74,2.88,8.71,10.91,1.16,4.15,4.54
2018,5.55,4.07,4.77,2.40,2.21,17.74,3.09,5.87,15.05,1.30,1.72,2.88,7.99,12.27,1.17,3.29,4.18
2019,5.17,3.53,4.69,2.36,3.28,15.53,2.64,6.01,14.02,1.36,1.81,2.84,7.17,11.03,1.21,3.12,3.68
2020,4.88,3.54,4.87,2.39,2.07,14.65,2.04,5.55,16.95,1.20,1.77,2.77,6.60,9.29,1.10,2.75,4.06
2021,5.51,5.21,4.93,2.41,2.37,16.25,2.23,6.07,18.47,1.02,1.91,2.87,8.15,12.32,1.25,2.70,3.99
2022,5.38,5.55,4.73,2.85,2.09,17.11,2.06,6.05,16.44,0.90,1.68,2.75,7.46,12.75,1.18,2.30,3.61
2023,4.58,4.57,4.56,2.41,2.07,13.34,1.85,5.15,15.78,0.87,1.59,2.58,6.22,10.62,1.06,1.76,3.52
