REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,58.0,58.2,58.5,58.7,58.9,59.0,59.6,59.7,59.8,59.7,59.2,59.1,60.1,61.3,61.62
Dolnośląskie,57.0,57.4,58.0,58.2,58.6,58.7,58.9,59.0,58.9,59.3,58.6,58.7,60.1,61.6,61.99
Kujawsko-Pomorskie,57.2,57.9,58.4,58.7,58.9,59.0,59.6,60.0,59.8,59.8,59.5,59.2,60.2,61.1,61.5
Lubelskie,58.2,57.9,57.7,57.7,57.6,57.9,58.5,59.4,59.5,59.4,58.8,58.3,59.0,59.3,60.1
Lubuskie,57.5,57.4,57.8,58.1,58.6,58.5,59.3,60.0,60.5,60.6,60.6,60.1,61.4,62.5,63.12
Łódzkie,56.5,56.6,56.8,57.0,58.4,58.5,59.5,58.7,58.6,58.7,58.1,58.5,59.1,60.0,60.52
Małopolskie,59.5,59.4,59.6,60.1,60.4,60.5,61.0,60.8,60.6,60.1,59.4,59.5,60.6,61.8,62.19
Mazowieckie,57.6,57.6,57.9,58.3,59.6,59.9,60.6,59.8,59.7,59.6,59.2,59.0,60.1,61.7,62.29
Opolskie,57.8,58.1,58.6,58.8,59.4,59.1,59.4,59.4,59.7,59.9,59.2,59.3,60.5,62.3,62.48
Podkarpackie,59.7,59.2,58.7,58.8,58.5,58.7,59.5,60.5,60.6,60.2,59.7,59.1,59.8,60.1,60.76
Podlaskie,58.9,58.7,58.0,58.0,57.9,58.1,58.7,59.7,59.8,59.6,59.2,58.3,59.2,59.4,60.5
Pomorskie,58.0,58.6,58.6,59.3,59.5,59.4,60.1,60.5,60.4,60.3,59.9,60.0,60.4,61.6,61.97
Śląskie,58.4,58.3,58.4,58.8,59.3,59.3,59.9,59.8,59.6,59.3,58.6,58.4,59.5,60.8,61.35
Świętokrzyskie,58.5,58.0,57.9,57.8,57.9,57.8,58.5,59.5,59.5,59.4,58.7,59.2,59.5,60.4,60.89
Warmińsko-Mazurskie,57.1,57.6,57.8,58.1,58.7,58.6,59.1,59.5,59.3,59.3,59.2,59.0,59.8,61.0,61.36
Wielkopolskie,58.2,58.2,58.3,58.8,59.0,59.0,60.0,60.4,61.2,61.4,61.2,61.1,62.1,62.9,63.5
Zachodniopomorskie,57.6,57.5,57.9,58.4,58.8,58.9,59.6,60.2,60.9,60.9,60.7,60.7,61.6,62.5,63.11
