REGION,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Polska,4.9,4.2,4.4,4.7,4.4,5.4,4.8,3.7,4.4,4.3,4.8,4.2,3.9,,3.2
Dolnośląskie,2.5,3.3,4.9,5.5,8.7,11.8,11.1,5.6,4.4,5.5,4.8,4.4,0.0,,2.8
Kujawsko-Pomorskie,10.1,2.4,2.4,2.1,2.7,2.9,2.8,2.7,2.4,2.3,2.7,2.1,2.1,,0.1
Lubelskie,1.2,1.1,1.8,2.1,2.4,3.4,3.8,1.4,1.5,1.4,0.8,3.3,0.0,,0.8
Lubuskie,2.0,0.8,2.8,4.1,4.0,3.2,3.6,3.0,10.1,9.3,12.1,3.1,6.9,,6.8
Łódzkie,2.4,1.2,3.4,3.2,4.8,4.4,3.5,3.9,1.5,1.0,1.4,1.0,1.2,,1.8
Małopolskie,3.6,3.8,3.2,3.6,3.9,5.2,6.5,6.3,7.9,5.6,6.2,6.2,0.0,,9.5
Mazowieckie,4.7,2.5,2.9,2.8,1.9,2.6,2.7,2.9,2.9,3.1,3.8,3.7,2.2,,2.0
Opolskie,1.1,1.9,3.0,3.1,3.7,3.0,5.6,2.4,5.4,4.8,5.8,5.2,6.5,,4.8
Podkarpackie,3.6,5.5,4.9,5.4,4.5,4.3,4.9,5.0,5.4,6.0,5.8,5.3,8.3,,6.6
Podlaskie,1.0,1.2,1.3,2.1,1.9,1.7,2.5,2.0,2.8,2.3,1.6,2.0,2.0,,1.3
Pomorskie,7.2,9.1,12.0,5.2,6.6,5.0,6.1,4.2,3.9,4.2,6.4,5.5,6.9,,2.3
Śląskie,7.8,3.6,5.3,6.6,7.4,7.2,6.8,4.4,6.6,7.0,7.7,5.9,4.8,,6.9
Świętokrzyskie,1.6,0.9,3.3,4.5,2.1,2.1,2.8,3.1,1.5,0.9,1.5,1.4,1.8,,0.8
Warmińsko-Mazurskie,7.8,5.2,1.8,1.2,1.8,1.9,1.2,1.7,3.4,1.7,2.1,1.9,1.8,,4.7
Wielkopolskie,5.7,11.0,4.9,9.8,4.2,10.2,4.0,3.1,5.5,5.6,5.3,5.2,0.0,,7.2
Zachodniopomorskie,1.3,3.5,2.4,2.2,3.6,3.0,2.1,2.4,1.5,2.1,1.7,1.3,1.7,,2.1
